Source;Target;distance
Development cost;Cost-Benefits Analysis;1
Business cost;Cost-Benefits Analysis;1
Non-recurring cost;Cost-Benefits Analysis;1
Capital cost;Cost-Benefits Analysis;1
Recurrent cost;Cost-Benefits Analysis;1
Benefits;Cost-Benefits Analysis;1
Balance;Cost-Benefits Analysis;1
Projected cost;Development cost;1
Demandcost;Development cost;1
Development cost;Development cost;1
Testcost;Development cost;1
Executive condition;Development cost;1
Executive condition;Cost-Benefits Analysis;2
